Deployment,mysql-deploy,6,8Gi,mysql:5.7,3306,,,mysql-config,mysql-pvc
Deployment,mongodb-server,200m,512Mi,mongo:4.4.6-bionic,,,,,mongodb-pvc
Deployment,es-cluster,500m,3G,rsq/elasticsearch:6.3.2,9200,,,,elasticsearch-pvc
Deployment,minio,1,4Gi,minio/minio:RELEASE.2021-02-14T04-01-33Z,9000,,,,minio
Deployment,coredns,,170Mi,rancher/mirrored-coredns-coredns:1.8.6,53,"ordereddict([('path', '/ready'), ('port', 8181), ('scheme', 'HTTP')])","ordereddict([('path', '/health'), ('port', 8080), ('scheme', 'HTTP')])",coredns,
Deployment,local-path-provisioner,,,rancher/local-path-provisioner:v0.0.21,,,,local-path-config,
Deployment,backend-project-main-activemq-deploy,,,registry.cn-beijing.aliyuncs.com/rsq-public/private-cloud:activemq-5.14.5,8161,,,,
Deployment,redis,64m,128Mi,registry.cn-beijing.aliyuncs.com/rsq-public/redis:6.2.6,,,,,
Deployment,seata-server,,,registry.cn-beijing.aliyuncs.com/rsq-public/private-cloud:seata-private-cloud-1.0.0,8091,,,,
Deployment,traefik,,,rancher/mirrored-library-traefik:2.6.1,9100,"ordereddict([('path', '/ping'), ('port', 9000), ('scheme', 'HTTP')])","ordereddict([('path', '/ping'), ('port', 9000), ('scheme', 'HTTP')])",,
Deployment,metrics-server,,,rancher/mirrored-metrics-server:v0.5.2,4443,"ordereddict([('path', '/readyz'), ('port', 'https'), ('scheme', 'HTTPS')])","ordereddict([('path', '/livez'), ('port', 'https'), ('scheme', 'HTTPS')])",,
Deployment,backend-project-activiti-deploy,500m,1Gi,registry.cn-beijing.aliyuncs.com/rsq-public/private-cloud:activiti-private-cloud-pjjj-build-20220329133041,8080,"ordereddict([('path', '/activiti/probe'), ('port', 8080), ('scheme', 'HTTP')])","ordereddict([('path', '/activiti/probe'), ('port', 8080), ('scheme', 'HTTP')])",backend-project-activiti,
Deployment,backend-project-workflow-job-deploy,500m,1Gi,registry.cn-beijing.aliyuncs.com/rsq-public/private-cloud:workflow-job-private-cloud-pjjj-build-2.3.7,8080,"ordereddict([('path', '/task/workflow/probe'), ('port', 8080), ('scheme', 'HTTP')])","ordereddict([('path', '/task/workflow/probe'), ('port', 8080), ('scheme', 'HTTP')])",backend-project-workflow,
Deployment,backend-project-team-statistics-master-deploy,1024m,2Gi,registry.cn-beijing.aliyuncs.com/rsq-public/private-cloud:team-statistics-stable-build-20211126084619,8389,,,backend-project-team-statistics,
Deployment,history-creator,128m,512Mi,registry.cn-beijing.aliyuncs.com/rsq-project/reditor-history-creator:release.38980,,,,history-creator-config,
Deployment,history-subscribe,128m,512Mi,registry.cn-beijing.aliyuncs.com/rsq-project/reditor-history-subscribe:beta.15623,,,,history-subscribe-config,
Deployment,backend-project-okr-job-deploy,500m,2Gi,registry.cn-hangzhou.aliyuncs.com/workbei-public/private-cloud:okr-job-private-cloud-3.2.2-stable,8080,"ordereddict([('path', '/task/okr/job/probe'), ('port', 8080), ('scheme', 'HTTP')])","ordereddict([('path', '/task/okr/job/probe'), ('port', 8080), ('scheme', 'HTTP')])",backend-project-okr-job-config,
